503797634,"""H2O"" - ASSOCIAÇÃO DE JOVENS DE ARROUQUELAS",ARROUQUELAS
505037033,"""O PONTÃO"" ASSOCIAÇÃO DE SOLIDARIEDADE SOCIAL DA CONCEIÇÃO DE TAVIRA",TAVIRA
504152971,31 DE MAIO ASSOC PARA A PROMOÇÃO DA EDUCAÇÃO,LISBOA
505992779,"A ""BENÉFICA E PREVIDENTE"" - ASSOCIAÇÃO MUTUALISTA",PORTO
508597811,A A ASSOCIAÇÃO CULTURAL E RECREATIVA,ALDEIA DE ALEM
513096639,A A C - ASSOCIAÇÃO DE APOIO A CRIANÇA,OLIVEIRA DO CASTELO
509200532,A A I C A - ASSOCIAÇÃO DE APOIO A INFORMAÇÃO A CEGOS E AMBLIOPES,TAPADA DAS MERCES
503364657,A ANTA ASSOC CULTURAL E DE DESENVOLVIMENTO DA BEIRÃ,BEIRÃ
500980896,A ARCIAL - ASSOCIAÇÃO PARA RECUPERAÇÃO DE CIDADÃOS INADAPTADOS DE OLIVEIRA DO HOSPITAL,OLIVEIRA DO HOSPITAL
501064761,A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS VOLUNTÁRIOS DE ÉVORA,EVORA
505702231,A B C E D DE S ROMÃO ASSOCIAÇÃO DE BEM ESTAR CULTURA E DESENVOLVIMENTO SOCIAL,LUGAR DO LUZEIRO
502381680,A BANDA MUSICAL LEVERENSE,LEVER
501823662,"A BARRAGEM - FUNDAÇÃO PORTUGUESA PARA O ESTUDO, PREVENÇÃO E TRATAMENTO DAS DEPENDÊNCIAS",ALCABIDECHE
500746516,A BENEFICENCIA FAMILIAR ASSOC DE SOCORROS MUTUOS,PORTO
501406271,A BENEFICENTE-POVOA DE VARZIM,POVOA DO VARZIM
501932321,A C R -ASSOCIAÇÃO CULTURAL DE RECARDÃES,AGUEDA
506065936,A CASINHA CENTRO DE ACOLHIMENTO DE MONSANTO,MONSANTO
505428652,A CAUSA DA CRIANÇA - ASSOCIAÇÃO DE PROTECÇÃO À INFÂNCIA E JUVENTUDE,MAIA
501311823,A CRECHE SEMPRE EM FLOR,MEM MARTINS
515137464,A D A N -ASSOCIAÇÃO DE DEFESA ANIMAL DO NORDESTE,MIRANDELA
511219431,A D C F ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITARIO DO FUNCHAL,FUNCHAL
502321369,A D M A S ASSOC DIVULGADORA DA CASA MUSEU ABEL SALAZAR,SAO MAMEDE DE INFESTA
505148625,A D O C ASSOCIAÇÃO DE OCUPAÇÃO CONSTANTE,BRAGA
505335689,A E A - ASSOCIAÇÃO PARA O DESENVOLVIMENTO INTEGRADO DA CRIANÇA,SAMORA CORREIA
510408524,A F S O - ASSOCIAÇÃO FAMILIA SOLIDARIA DE OEIRAS,OEIRAS
501181938,A FAMILIAR DE GRIJO - ASSOCIAÇÃO MUTUALISTA,GRIJÓ
504798839,A FARPA - ASSOCIAÇÃO DE FAMILIARES E AMIGOS DO DOENTE PSICÓTICO,SANTARÉM
500525889,A FILANTROPICA COOP DE CULTURA CRL,PÓVOA DE VARZIM
504405470,A GRALHA - ASSOCIAÇÃO PARA O DESENVOLVIMENTO DE PORTO COVO,PORTO COVO
509775772,A H B V A - ASSOCIAÇÃO HUMANITARIA DE BOMBEIROS VOLUNTARIOS DE ALVALADE,ALVALADE
511072031,A I C ASSOCIAÇÃO INTERNACIONAL DE CARIDADE DA MADEIRA,FUNCHAL
502369345,A I S A ASSOC DE APOIO SOCIAL DE NOSSA SENHORA DA ASSUNÇÃO,MALVEIRA SERRA
505253925,A I S C ASSOCIAÇÃO DE INTERVENÇÃO SOCIAL E COMUNITARIA,BOM SUCESSO
501394427,A J E - ASSOCIAÇÃO JOSE ESTEVÃO,LISBOA
501102531,A MUTUALIDADE DA MOITA ASSOC MUTUALISTA,MOITA
501149112,A NOSSA CASA,GOUVEIA
507450957,A NOSSA HISTORIA ASSOCIAÇÃO DE PAIS DE APOIO A PESSOAS COM NECESSIDADES ESPECIAIS,BARCELOS
501486518,A NOZ ASSOC NOGUEIRENSE DE CULTURA E DESPORTO,NOGUEIRA DO CRAVO
503484601,A P L - ASSOCIAÇÃO PORTUGUESA DE DOENÇAS DO LISOSOMA,LISBOA
512099111,A P P J - ASSOCIAÇÃO DE PROMOÇÃO DE PUBLICOS JOVENS EM RISCO,PONTA DELGADA - SÃO JOSE
503456837,A PONTE - COMUNIDADE RESIDENCIAL DE APOIO A TOXICODEPENDENTES IPSS,CILHA DO CENTEIO
500987416,A PREVIDÊNCIA PORTUGUESA - ASSOCIAÇÃO MUTUALISTA,COIMBRA
500746796,A VENCEDORA - ASSOCIAÇÃO MUTUALISTA,PORTO
509220304,A VOZ DA JUVENTUDE-ASSOCIAÇÃO JUVENIL DE DESENVOLVIMENTO SOCIAL,CHAVES
504428985,A. H. S. A. - ASSOCIAÇÃO HUMANITÁRIA SOLIDARIEDADE ALBUFEIRA,ALBUFEIRA
501455752,A. M. L. - ASSOCIAÇÃO DE MORADORES DAS LAMEIRAS,ANTAS
502777001,A.A.M.A.-ASSOCIAÇÃO DOS AMIGOS DA MULHER ANGOLANA,CARNAXIDE
503529222,A.A.P.M.-ASSOCIAÇÃO DE AMIGOS DO REVERENDO PADRE JOSÉ DOS SANTOS FERREIRA MOURA,GONDOMAR
509730612,A.F.S.D. - ASSOCIAÇÃO DE FAMÍLIAS SOLIDÁRIAS COM A DEFICIÊNCIA,MARCO DOS PEREIROS
503630250,A.I.T.I.E.D. - ASSOCIAÇÃO PARA INFÂNCIA E 3ª IDADE DE ERVEDOSA DO DOURO,ERVEDOSA DO DOURO
509762557,"A.L.É.M. - ASSOCIAÇÃO LITERATURA, LITERACIA E MEDIAÇÃO",LISBOA
502887206,A.P.N.- ASSOCIAÇÃO PORTUGUESA DE NEUROMUSCULARES,PORTO
507135229,A.P.P.S.H.O. - ASSOCIAÇÃO PORTUGUESA PROMOTORA DE SAÚDE E HIGIENE ORAL,SEIXAL
504161903,A.R.I.M. - ASSOCIAÇÃO DE REFORMADOS E IDOSOS DO MURTAL,PAREDE
504859560,A.S.D.G.-ASSOCIAÇÃO SOCIAL E DE DESENVOLVIMENTO DE GUIFÕES,GUIFÕES
501504699,"A.U.R.P.I.A.-ASSOCIAÇÃO UNITARIA DOS REFORMADOS,PENSIONISTAS E IDOSOS DE AZEITÃO",AZEITAO
501483080,A.U.R.P.I.C.-ASSOCIAÇÃO UNITARIA DE REFORMADOS PENSIONISTAS E IDOSOS DE CORROIOS,CORROIOS
501456309,A.U.R.P.I.M.ASSOCIAÇÃO UNITARIA DE REFORMADOS PENSIONISTAS E IDOSOS DE MIRATEJO,ALMADA
509769551,AA1P - ASSOCIAÇÃO ALFA 1 DE PORTUGAL,LISBOA
509879098,AADC- ASSOCIAÇÃO DE APOIO AO DOMICÍLIO À CRIANÇA,LISBOA
509662293,AAJONG-ASSOCIAÇÃO DE AMIGOS JUNTOS PELA ORQUESTRA NOVA DE GUITARRAS,PINHAL NOVO
506542955,AAP_HSM (ASSOCIAÇÃO DE APOIO A PROFISSIONAIS DO HOSPITAL DE SANTA MARIA),CAMARATE
516220136,AAPE - ASSOCIAÇÃO DE APOIO A POPULAÇÃO ERADENSE,ERADA
510717055,AASPSM - ASSOCIAÇÃO DE APOIO SOCIAL DA FREGUESIA DA PÓVOA DE SÃO MIGUEL,PÓVOA DE SÃO MIGUEL
500741093,AAUMINHO - ASSOCIAÇÃO ACADEMICA DA UNIVERSIDADE DO MINHO,BRAGA
504647270,ABA - ASSOCIAÇÃO BENEFICENTE DE AJUDA,STO ANTONIO CAVALEIROS
503341460,ABA - BANDA DE ALCOBAÇA ASSOCIAÇÃO DE ARTES,ALCOBAÇA
502344652,ABAAE - ASSOCIAÇÃO BANDEIRA AZUL DE AMBIENTE E EDUCAÇÃO,BARCARENA
515192350,ABH - ASSOCIAÇÃO BISTURI HUMANITARIO,GLÓRIA E VERA CRUZ
506413969,ABIU ASSOCIAÇÃO BENEFICENTE DE INTERVENÇÃO URBANA,MALVEIRA
503170151,"ABRAÇO, ASSOCIAÇÃO DE APOIO A PESSOAS COM VIH/SIDA",LISBOA
505415364,ABRIGO - ASSOCIAÇÃO PORTUGUESA DE APOIO À CRIANÇA,MONTIJO
500868557,ABRIGO DE NOSSA SENHORA DA ESPERANÇA,MAIA
500886296,ABRIGO DO MENINO JESUS,TORRES NOVAS
514113898,ABRIGO SEGURO - ASSOCIAÇÃO DE SOLIDARIEDADE SOCIAL,AVINTES
508313694,ACA - ASSOCIAÇÃO CASA DA ARQUITECTURA,MATOSINHOS
508386829,ACACIA - ASSOCIAÇÃO PARA A COOPERAÇÃO INTERNACIONAL COM AFRICA,OEIRAS
503760803,ACADEMIA CULTURAL E SOCIAL DE MACEIRA,MACEIRA
500922713,ACADEMIA DE AMADORES DE MUSICA,LISBOA
504261240,ACADEMIA DE KUNG FU DA PÓVOA DE VARZIM,PÓVOA DE VARZIM
501254153,ACADEMIA DE MUSICA BANDA DE OUREM,OUREM
503373010,ACADEMIA DE MUSICA DE CASTELO DE PAIVA,CASTELO DE PAIVA
500985413,ACADEMIA DE MUSICA DE ESPINHO,ESPINHO
502722185,ACADEMIA DE MUSICA DE OLIVEIRA DE AZEMEIS,OLIVEIRA DE AZEMEIS
501651462,ACADEMIA DE SANTA CECILIA,S ROMÃO
509250319,ACADEMIA DOS CHAMPS- ASSOCIAÇÃO,LISBOA
509044999,ACADEMIA EQUESTRE JOÃO CARDIGA - ASSOCIAÇÃO,LECEIA
500007446,ACADEMIA INSTRUCAO E RECREIO FAMILIAR ALMADENSE,ALMADA
501670416,ACADEMIA MUSICAL ARAZEDENSE,ARAZEDE
501224904,ACADEMIA MUSICAL DOS AMIGOS DAS CRIANÇAS,LISBOA
600022730,ACADEMIA PORTUGUESA DA HISTORIA,LISBOA
504641891,ACADEMIA PORTUGUESA DE CULTURA E SOLIDARIEDADE DE AGUEDA - A P C S A,ÁGUEDA
501647953,ACADEMIA RECREATIVA DE LINDA A VELHA,LINDA A VELHA
500007489,ACADEMIA SANTO AMARO,LISBOA
503393800,ACADEMICO DE TORRES VEDRAS,TORRES VEDRAS
503749230,ACAIS - ASSOCIAÇÃO DO CENTRO DE APOIO AOS IDOSOS SANJOANENSES,SÃO JOÃO DA MADEIRA
503393916,ACAP - ASSOCIAÇÃO CÍVICA DOS AMIGOS DA POCARIÇA,POCARIÇA
502410132,ACAPO-ASSOCIAÇÃO DOS CEGOS E AMBLIOPES DE PORTUGAL,LISBOA
501524614,ACARF ASSOC SOCIAL CULTURAL ARTISTICA E RECREATIVA DE FORJAES,FORJAES
502645873,ACARPS-ASSOCIAÇÃO COMUNITARIA DA AMADORA PARA REABILITAÇÃO PSICO-SOCIAL,AMADORA
501454748,ACATIM-ASSOCIAÇÃO COMUNITARIA DE APOIO A TERCEIRA IDADE DE MOURISCAS,MOURISCAS
503758183,ACB ASSOC CULTURAL BENEFICENTE E DESPORTIVA DOS TRABALHADORES DO MUNICIPIO DE V N DE FAMALICÃO,VILA NOVA DE FAMALICÃO
510702880,ACBR - ASSOCIAÇÃO CASA DOS BEIRÕES NO RIBATEJO,SANTARÉM
510676960,ACESSO CULTURA ASSOCIAÇÃO CULTURAL,COVA DA PIEDADE
515596280,ACOML- ASSOCIAÇÃO CORO E ORQUESTRA MEDICOS DE LISBOA,LISBOA
503927791,ACONCHEGO - CENTRO DE APOIO SOCIAL,VALE DE CAVALOS
508041686,ACORDARTE - ASSOCIAÇÃO PROMOTORA DA EDUCAÇÃO CULTURAL E ARTÍSTICA,LISBOA
500925690,"ACRA - ASSOCIAÇÃO SOCIAL, CULTURAL E RECREATIVA DE ALHEIRA",BARCELOS
503179485,ACRASSA - ASSOCIAÇÃO CULTURAL RECREATIVA E ACÇÃO SOCIAL DE SANTANA D AZINHA,CATRAIA DO SORTELHÃO
502962054,ACREDITA-ASSOCIAÇÃO DE SOLIDARIEDADE SOCIAL CULTURAL RECREATIVA E DESPORTIVA DE TRAVASSOS DE BAIXO,TRAVASSÓS DE BAIXO
503571920,ACREDITAR ASSOC DE PAIS E AMIGOS DAS CRIANÇAS COM CANCRO,LISBOA
509535917,ACRTTSP - ASSOCIAÇÃO CULTURAL E RECREATIVA TUNA TECNOLOGIA DA SAUDE DO PORTO,VILA NOVA DE GAIA
514509309,ACSSR - ASSOCIAÇÃO CULTURAL E DE SOLIDARIEDADE SOCIAL DE REGADAS,REGADAS
508407613,ACTIVAR - ASSOCIAÇÃO DE COOPERAÇÃO DA LOUSÃ,LOUSÃ
502005173,ACTIVIDADES DE TEMPOS LIVRES DE BOLONHA,PÓVOA DE SANTA IRIA
513618740,ACUP ASSOCIAÇÃO COMBATENTES DO ULTRAMAR PORTUGUÊS,UNIÃO FREGUESIAS SOBRADO E BAIRROS
501869247,ACV-ASSOCIAÇÃO CULTURAL DE VERMOIM,VERMOIM
504961357,ACVP - ASSOCIAÇÃO COMUNITÁRIA DO VALE DA PEDRA,VALE DA PEDRA
508313554,AD GENTES - ASSOCIAÇÃO LEIGOS MISSIONARIOS DA CONSOLATA,S MARCOS
504283820,"ADA - ASSOCIAÇÃO DE DESENVOLVIMENTO, ACÇÃO SOCIAL E DEFESA DO AMBIENTE",PORTEL
504192892,ADAFA - ASSOCIAÇÃO DOS AMIGOS DE FIGUEIREDO DE ALVA,FIGUEIREDO DE ALVA
508969999,ADAN - ASSOCIAÇÃO DE ACÇÃO SOCIAL PARA O NECESSITADO,LINDA-A-VELHA
501138579,ADAPECIL - ASSOCIAÇÃO DE AMOR PARA A EDUCAÇÃO DE CIDADÃOS INADAPTADOS DA LOURINHÃ,LOURINHÃ
505100363,ADAR - ASSOCIAÇÃO DOS DIABETICOS ARCO RIBEIRINHO,QUINTA DA LOMBA
